[INFO 2018-09-25 00:28:49,758 tanks 27950 139833577006848] Initialization coffee beans tank
[INFO 2018-09-25 00:28:49,758 tank 27950 139833577006848] Water tank is refill
[INFO 2018-09-25 00:28:49,759 tanks 27950 139833577006848] Initialization coffee beans tank
[INFO 2018-09-25 00:28:51,373 coffee_machine 27950 139833577006848] Starting making ESPRESSO
[INFO 2018-09-25 00:30:22,308 tank 28013 140494115419904] Water tank is refill
[INFO 2018-09-25 00:30:22,309 tanks 28013 140494115419904] Initialization coffee beans tank
[INFO 2018-09-25 00:30:24,398 tank 28013 140494115419904] Coffee beans tank is refill
[INFO 2018-09-25 00:30:24,399 tanks 28013 140494115419904] Initialization coffee beans tank
[INFO 2018-09-25 00:30:25,810 coffee_machine 28013 140494115419904] Starting making CAPPUCCINO
[INFO 2018-09-25 00:32:10,406 tank 28085 140556844996352] Water tank is refill
[INFO 2018-09-25 00:32:10,406 tanks 28085 140556844996352] Initialization coffee beans tank
[INFO 2018-09-25 00:32:12,279 tank 28085 140556844996352] Coffee beans tank is refill
[INFO 2018-09-25 00:32:12,279 tanks 28085 140556844996352] Initialization coffee beans tank
[INFO 2018-09-25 00:32:13,610 coffee_machine 28085 140556844996352] Starting making ESPRESSO
[INFO 2018-09-25 01:01:01,633 tank 28781 139723373688576] Water tank is refill
[INFO 2018-09-25 01:01:01,634 tanks 28781 139723373688576] Initialization coffee beans tank
[INFO 2018-09-25 01:01:07,673 tank 28781 139723373688576] Coffee beans tank is refill
[INFO 2018-09-25 01:01:07,674 tanks 28781 139723373688576] Initialization coffee beans tank
[INFO 2018-09-25 01:01:09,078 coffee_machine 28781 139723373688576] AMERICANO is ready
[INFO 2018-09-25 01:01:09,083 coffee_machine 28781 139723373688576] Starting making CAPPUCCINO
[INFO 2018-09-25 01:01:40,537 tank 28817 140218654799616] Water tank is refill
[INFO 2018-09-25 01:01:40,537 tanks 28817 140218654799616] Initialization coffee beans tank
[INFO 2018-09-25 01:01:40,538 tank 28817 140218654799616] Coffee beans tank is refill
[INFO 2018-09-25 01:01:40,538 tanks 28817 140218654799616] Initialization coffee beans tank
[INFO 2018-09-25 01:01:42,441 coffee_machine 28817 140218654799616] AMERICANO is ready
[INFO 2018-09-25 01:01:42,446 coffee_machine 28817 140218654799616] Starting making DOPPIO
[INFO 2018-09-25 01:16:42,902 tank 29407 139693275756288] Water tank is refill
[INFO 2018-09-25 01:16:42,903 tanks 29407 139693275756288] Initialization coffee beans tank
[INFO 2018-09-25 01:16:42,904 tank 29407 139693275756288] Coffee beans tank is refill
[INFO 2018-09-25 01:16:42,904 tanks 29407 139693275756288] Initialization coffee beans tank
[INFO 2018-09-25 01:16:51,771 coffee_machine 29407 139693275756288] AMERICANO is ready
[INFO 2018-09-25 01:16:51,774 coffee_machine 29407 139693275756288] Starting making DOPPIO
[INFO 2018-09-25 01:17:21,512 tank 29438 140484034221824] Water tank is refill
[INFO 2018-09-25 01:17:21,512 tanks 29438 140484034221824] Initialization coffee beans tank
[INFO 2018-09-25 01:17:21,513 tank 29438 140484034221824] Coffee beans tank is refill
[INFO 2018-09-25 01:17:21,514 tanks 29438 140484034221824] Initialization coffee beans tank
[INFO 2018-09-25 01:17:21,515 tank 29438 140484034221824] Water tank is empty
[INFO 2018-09-25 01:17:21,515 tank 29438 140484034221824] Coffee beans tank is empty
[INFO 2018-09-25 01:17:21,517 coffee_machine 29438 140484034221824] AMERICANO is ready
[INFO 2018-09-25 01:18:15,379 tank 29465 140497600337664] Water tank is refill
[INFO 2018-09-25 01:18:15,380 tanks 29465 140497600337664] Initialization coffee beans tank
[INFO 2018-09-25 01:18:15,381 tank 29465 140497600337664] Coffee beans tank is refill
[INFO 2018-09-25 01:18:15,381 tanks 29465 140497600337664] Initialization coffee beans tank
[INFO 2018-09-25 01:18:15,382 tank 29465 140497600337664] Water tank is empty
[INFO 2018-09-25 01:18:15,383 tank 29465 140497600337664] Coffee beans tank is empty
[INFO 2018-09-25 01:18:15,385 coffee_machine 29465 140497600337664] AMERICANO is ready
[INFO 2018-09-25 01:18:48,690 tank 29483 140172719122176] Water tank is refill
[INFO 2018-09-25 01:18:48,690 tanks 29483 140172719122176] Initialization coffee beans tank
[INFO 2018-09-25 01:20:39,259 tank 29483 140172719122176] Coffee beans tank is refill
[INFO 2018-09-25 01:20:39,260 tanks 29483 140172719122176] Initialization coffee beans tank
[INFO 2018-09-25 01:21:01,039 tank 29633 140464149186304] Water tank is refill
[INFO 2018-09-25 01:21:01,039 tanks 29633 140464149186304] Initialization coffee beans tank
[INFO 2018-09-25 01:21:01,040 tank 29633 140464149186304] Coffee beans tank is refill
[INFO 2018-09-25 01:21:01,040 tanks 29633 140464149186304] Initialization coffee beans tank
[INFO 2018-09-25 01:21:01,041 tank 29633 140464149186304] Water tank is empty
[INFO 2018-09-25 01:21:04,024 tank 29633 140464149186304] Coffee beans tank is empty
[INFO 2018-09-25 01:21:07,901 coffee_machine 29633 140464149186304] AMERICANO is ready
[INFO 2018-09-25 01:21:26,368 tank 29659 139906253350656] Water tank is refill
[INFO 2018-09-25 01:21:26,368 tanks 29659 139906253350656] Initialization coffee beans tank
[INFO 2018-09-25 01:21:26,369 tank 29659 139906253350656] Coffee beans tank is refill
[INFO 2018-09-25 01:21:26,369 tanks 29659 139906253350656] Initialization coffee beans tank
[INFO 2018-09-25 01:21:26,370 tank 29659 139906253350656] Water tank is empty
[INFO 2018-09-25 01:21:51,506 tank 29659 139906253350656] Coffee beans tank is empty
[INFO 2018-09-25 01:24:51,051 tank 29783 140132534257408] Water tank is refill
[INFO 2018-09-25 01:24:51,052 tanks 29783 140132534257408] Initialization coffee beans tank
[INFO 2018-09-25 01:24:51,053 tank 29783 140132534257408] Coffee beans tank is refill
[INFO 2018-09-25 01:24:51,053 tanks 29783 140132534257408] Initialization coffee beans tank
[INFO 2018-09-25 01:26:03,476 tank 29840 140469270005504] Water tank is refill
[INFO 2018-09-25 01:26:03,477 tanks 29840 140469270005504] Initialization coffee beans tank
[INFO 2018-09-25 01:26:03,478 tank 29840 140469270005504] Coffee beans tank is refill
[INFO 2018-09-25 01:26:03,478 tanks 29840 140469270005504] Initialization coffee beans tank
[INFO 2018-09-25 01:26:03,479 tank 29840 140469270005504] Water tank is empty
[INFO 2018-09-25 01:26:05,877 tank 29840 140469270005504] Coffee beans tank is empty
[INFO 2018-09-25 01:26:49,548 tank 29866 140203164493568] Water tank is refill
[INFO 2018-09-25 01:26:49,549 tanks 29866 140203164493568] Initialization coffee beans tank
[INFO 2018-09-25 01:26:49,551 tank 29866 140203164493568] Coffee beans tank is refill
[INFO 2018-09-25 01:26:49,552 tanks 29866 140203164493568] Initialization coffee beans tank
[INFO 2018-09-25 01:26:49,553 tank 29866 140203164493568] Water tank is empty
[INFO 2018-09-25 01:26:53,898 tank 29866 140203164493568] Coffee beans tank is empty
[INFO 2018-09-25 01:28:15,958 tank 29934 140680172963584] Water tank is refill
[INFO 2018-09-25 01:28:15,958 tanks 29934 140680172963584] Initialization coffee beans tank
[INFO 2018-09-25 01:28:15,959 tank 29934 140680172963584] Coffee beans tank is refill
[INFO 2018-09-25 01:28:15,959 tanks 29934 140680172963584] Initialization coffee beans tank
[INFO 2018-09-25 01:28:15,960 tank 29934 140680172963584] Water tank is empty
[INFO 2018-09-25 01:28:15,961 tank 29934 140680172963584] Coffee beans tank is empty
[INFO 2018-09-25 01:28:18,037 coffee_machine 29934 140680172963584] AMERICANO is ready
[INFO 2018-09-25 01:28:52,022 tank 29960 139881882699520] Water tank is refill
[INFO 2018-09-25 01:28:52,023 tanks 29960 139881882699520] Initialization coffee beans tank
[INFO 2018-09-25 01:28:52,025 tank 29960 139881882699520] Coffee beans tank is refill
[INFO 2018-09-25 01:28:52,025 tanks 29960 139881882699520] Initialization coffee beans tank
[INFO 2018-09-25 01:28:52,027 tank 29960 139881882699520] Water tank is empty
[INFO 2018-09-25 01:28:52,028 tank 29960 139881882699520] Coffee beans tank is empty
[INFO 2018-09-25 01:31:28,630 coffee_machine 29960 139881882699520] AMERICANO is ready
[INFO 2018-09-25 01:31:59,715 tank 30095 140257764804352] Water tank is refill
[INFO 2018-09-25 01:31:59,716 tanks 30095 140257764804352] Initialization coffee beans tank
[INFO 2018-09-25 01:31:59,716 tank 30095 140257764804352] Coffee beans tank is refill
[INFO 2018-09-25 01:31:59,717 tanks 30095 140257764804352] Initialization coffee beans tank
[INFO 2018-09-25 01:31:59,718 coffee_machine 30095 140257764804352] AMERICANO is ready
[INFO 2018-09-25 01:32:03,465 coffee_machine 30095 140257764804352] Starting making ESPRESSO
[INFO 2018-09-25 01:44:05,236 tank 30663 139822169786112] Water tank is refill
[INFO 2018-09-25 01:44:05,237 tanks 30663 139822169786112] Initialization coffee beans tank
[INFO 2018-09-25 01:44:05,237 tank 30663 139822169786112] Coffee beans tank is refill
[INFO 2018-09-25 01:44:05,238 tanks 30663 139822169786112] Initialization coffee beans tank
[INFO 2018-09-25 01:44:05,239 tank 30663 139822169786112] Water tank is empty
[INFO 2018-09-25 01:44:05,239 tank 30663 139822169786112] Coffee beans tank is empty
[INFO 2018-09-25 01:44:05,240 coffee_machine 30663 139822169786112] AMERICANO is ready
[INFO 2018-09-25 01:46:36,703 tank 30790 140351382394624] Water tank is refill
[INFO 2018-09-25 01:46:36,704 tanks 30790 140351382394624] Initialization coffee beans tank
[INFO 2018-09-25 01:46:36,705 tank 30790 140351382394624] Coffee beans tank is refill
[INFO 2018-09-25 01:46:36,705 tanks 30790 140351382394624] Initialization coffee beans tank
[INFO 2018-09-25 01:46:36,706 tank 30790 140351382394624] Water tank is empty
[INFO 2018-09-25 01:46:36,706 tank 30790 140351382394624] Coffee beans tank is empty
[INFO 2018-09-25 01:46:36,708 coffee_machine 30790 140351382394624] AMERICANO is ready
[INFO 2018-09-25 01:48:57,590 tank 30846 139758574679808] Water tank is refill
[INFO 2018-09-25 01:48:57,591 tanks 30846 139758574679808] Initialization coffee beans tank
